iter	Logloss
0	0.6597951384
1	0.6322687299
2	0.6064697699
3	0.5826529812
4	0.5615022918
5	0.5419299626
6	0.525290588
7	0.5080450174
8	0.4932827529
9	0.4791175927
10	0.4655287453
11	0.4532439516
12	0.4425714342
13	0.4342798136
14	0.4248799702
15	0.4178027712
16	0.4102266738
17	0.4027675913
18	0.3971991385
19	0.391791565
20	0.3869476683
21	0.381346198
22	0.3767122141
23	0.3725228452
24	0.3683288183
25	0.364884928
26	0.3613685931
27	0.358085958
28	0.3552644668
29	0.352593746
30	0.3502125205
31	0.3480664203
32	0.3456216667
33	0.3434130428
34	0.3410903691
35	0.339193227
36	0.3375316773
37	0.335996856
38	0.3343147027
39	0.3326585428
40	0.3312913953
41	0.3298020155
42	0.3286800303
43	0.327644333
44	0.3265014399
45	0.3257753725
46	0.3247201536
47	0.3237143726
48	0.32273105
49	0.3218790142
50	0.3210170764
51	0.3201119573
52	0.3191937919
53	0.3187477563
54	0.3180791571
55	0.3174129519
56	0.3166923489
57	0.3160431723
58	0.3153284552
59	0.3145839623
60	0.3139568345
61	0.3133378992
62	0.3128671654
63	0.3124112724
64	0.3119417056
65	0.3114677489
66	0.3111903024
67	0.3106207407
68	0.310201257
69	0.309947785
70	0.3094011618
71	0.3090324224
72	0.3084252138
73	0.3081813263
74	0.3078214186
75	0.3073584808
76	0.3070458929
77	0.3064468717
78	0.3060568049
79	0.3056330862
80	0.3052104214
81	0.3049074955
82	0.3046432201
83	0.3043493967
84	0.3043213094
85	0.3040805726
86	0.30367307
87	0.3034032688
88	0.3031390108
89	0.303026831
90	0.3026908329
91	0.3024886541
92	0.3022030022
93	0.3019426574
94	0.3016740812
95	0.3014920898
96	0.3012559897
97	0.3010940137
98	0.3008175034
99	0.3005531534
100	0.3003182345
101	0.300047088
102	0.2998704226
103	0.2997283889
104	0.2994782312
105	0.2992559415
106	0.298925411
107	0.2988100364
108	0.2986440355
109	0.2983145822
110	0.2982131829
111	0.2980366119
112	0.2978200035
113	0.297639588
114	0.2974733289
115	0.2973187967
116	0.2970974795
117	0.296905035
118	0.2966084097
119	0.2962789645
120	0.2961381904
121	0.2960030077
122	0.2958661103
123	0.2956164879
124	0.2954496228
125	0.2953280412
126	0.2951603756
127	0.2950014785
128	0.2948546361
129	0.2947504962
130	0.2945776902
131	0.2944364406
132	0.2943036684
133	0.2939999208
134	0.2938124791
135	0.2936896092
136	0.2935277697
137	0.2934153879
138	0.2932836137
139	0.2931924311
140	0.2930543759
141	0.2928867064
142	0.2927841452
143	0.2925635158
144	0.2924763162
145	0.2924034088
146	0.2923428285
147	0.2922372708
148	0.2921535212
149	0.2920602922
150	0.291973808
151	0.2919236912
152	0.2917673882
153	0.2916287773
154	0.2915119036
155	0.2913164818
156	0.2909029391
157	0.2907937918
158	0.2906500286
159	0.2905373884
160	0.290446912
161	0.2903285898
162	0.2898817784
163	0.2898732348
164	0.2897800621
165	0.2895766981
166	0.2894921279
167	0.2892142849
168	0.2891224656
169	0.2890398848
170	0.2889719578
171	0.2886391929
172	0.2885074336
173	0.2884304889
174	0.2882385641
175	0.288130806
176	0.2880548551
177	0.2879614604
178	0.2878719478
179	0.2877606764
180	0.2876699545
181	0.287548234
182	0.287504795
183	0.2874311659
184	0.2871497907
185	0.2871150284
186	0.2870446125
187	0.2869372647
188	0.2868453234
189	0.2866826216
190	0.2865741019
191	0.2865723083
192	0.2864760785
193	0.2863615922
194	0.2863587767
195	0.2862252054
196	0.286140978
197	0.2860014558
198	0.2859999449
199	0.2859493242
200	0.2858790695
201	0.2856488598
202	0.285569596
203	0.2855499542
204	0.2855014864
205	0.2854619549
206	0.2854082092
207	0.2853562393
208	0.285304677
209	0.2852128972
210	0.2850793703
211	0.2849818852
212	0.2848812267
213	0.2848669577
214	0.2847969231
215	0.2847028048
216	0.284610163
217	0.2845707386
218	0.2843667345
219	0.284322052
